timestamp,age,gender,city,position,total_experience_years,experience_years_germany,seniority_level,main_technology,yearly_salary_eur,yearly_bonus_stocks_eur,vacation_days,employment_status,contract_duration,work_language,company_size,company_type,job_loss_covid,age_range
2020-11-24 12:10:03,35,Male,Berlin,Frontend Developer,4.0,1.0,Middle,JavaScript,50000.0,5000,28,full_time,Unlimited contract,english,101-1000,Product,no,35-40
2020-11-24 12:10:05,31,Female,Munich,Qa Engineer,7.0,3.0,Senior,Java,68000.0,0,30,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 12:11:42,35,Male,Frankfurt,Software Engineer,12.0,3.0,Senior,Java,66000.0,0,25,full_time,Unlimited contract,german,51-100,Consulting,no,35-40
2020-11-24 12:12:16,28,Male,Berlin,Product Manager,3.0,3.0,Middle,unknown,51000.0,1500,27,full_time,Unlimited contract,english,51-100,Product,no,25-34
2020-11-24 12:12:35,25,Male,Berlin,Backend Developer,4.0,1.0,Middle,Python,60000.0,0,24,full_time,Unlimited contract,english,11-50,Startup,no,25-34
2020-11-24 12:13:24,42,Female,Berlin,Qa Engineer,20.0,1.0,Middle,Python,55000.0,0,30,full_time,Unlimited contract,english,1000+,Product,no,40-45
2020-11-24 12:14:03,30,Male,Berlin,Product Manager,7.0,5.0,Head,unknown,120000.0,0,25,full_time,Unlimited contract,english,1000+,Startup,no,25-34
2020-11-24 12:14:23,40,Female,Munich,Software Engineer,20.0,7.0,Middle,Java,54000.0,0,30,full_time,Unlimited contract,german,101-1000,Behörde,no,40-45
2020-11-24 12:14:27,36,Female,Erlangen,Project Manager,14.0,2.0,Middle,unknown,62000.0,0,30,full_time,Unlimited contract,english,1000+,Product,no,35-40
2020-11-24 12:14:52,37,Male,Berlin,Software Engineer,8.0,5.0,Junior,Java,60000.0,0,28,full_time,Unlimited contract,english,51-100,Product,no,35-40
2020-11-24 12:15:30,33,Male,Munich,Software Engineer,10.0,3.0,Senior,Java,75000.0,7500,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 12:16:38,38,Male,Cologne,Software Engineer,11.0,5.0,Senior,PHP,55000.0,0,26,full_time,Unlimited contract,english,101-1000,Product,no,35-40
2020-11-24 12:16:49,27,Male,Munich,Frontend Developer,4.0,0.0,Senior,JavaScript,60000.0,0,28,full_time,Unlimited contract,english,51-100,Product,no,25-34
2020-11-24 12:17:15,33,Male,Berlin,Software Engineer,7.0,7.0,Senior,Java,62000.0,67000,30,full_time,Unlimited contract,english,1000+,Consulting,no,25-34
2020-11-24 12:17:21,34,Male,Vienna,Data Scientist,12.0,3.0,Senior,unknown,77500.0,7750,25,full_time,Unlimited contract,english,101-1000,Consulting,no,25-34
2020-11-24 12:17:32,36,Female,Munich,Backend Developer,5.0,1.0,Middle,PHP,60000.0,5000,28,full_time,Unlimited contract,english,101-1000,Product,no,35-40
2020-11-24 12:17:51,42,Male,Berlin,Devops,22.0,4.0,Lead,YAML,70000.0,0,24,full_time,Unlimited contract,english,1000+,Startup,no,40-45
2020-11-24 12:18:41,32,Male,Frankfurt,Network Engineer,10.0,2.0,Senior,Python,68500.0,6000,25,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 12:21:10,31,Male,Berlin,Frontend Developer,10.0,1.5,Senior,JavaScript,71060.0,101,28,full_time,Unlimited contract,english,51-100,Startup,no,25-34
2020-11-24 12:21:33,33,Female,Berlin,Qa Engineer,6.0,0.5,Middle,Java,60000.0,0,28,full_time,Unlimited contract,english,101-1000,Startup,no,25-34
2020-11-24 12:21:45,40,Male,Berlin,Vp Engineering,10.0,7.0,VP,JavaScript,100000.0,0,24,full_time,Unlimited contract,english,51-100,Product,no,40-45
2020-11-24 12:23:47,28,Male,Munich,Backend Developer,6.0,5.0,Senior,Java,70000.0,2000,30,full_time,Unlimited contract,english,101-1000,Consulting,no,25-34
2020-11-24 12:23:50,46,Male,Munich,Agile Coach,4.0,1.5,Senior,unknown,82000.0,0,30,full_time,Unlimited contract,english,101-1000,Product,no,46-70
2020-11-24 12:26:12,31,Male,Berlin,Software Engineer,9.0,4.0,Senior,Python,90000.0,0,30,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 12:26:20,28,Male,Berlin,Mobile Developer,5.0,1.5,Lead,Swift,70800.0,0,28,full_time,Unlimited contract,english,11-50,Consulting,no,25-34
2020-11-24 12:27:21,29,Male,Berlin,Software Engineer,8.0,3.0,Middle,PHP,55000.0,0,24,full_time,Unlimited contract,english,11-50,Startup,no,25-34
